,rating,status,experience,review_title,date,employee_title,location,pro,con,advice
75,5.0,Current Employee,more than 1 year,Better Than I thought,"Dec 27, 2021",User Experience Designer,,"You are working with the best of the best.
They encourage you to take chances and risk.
You have ownership of what you do.
Benefits like crazy (a lot internal you wont learn until you get in)
They promote diversity (and like actually care about it not just say they do)
Great Culture","The culture GREATLY depends on what team you are on in the company. The company has a cultural standard but not every over manager upholds this standard. If you get a good team it's the best place to work on earth, if not, good luck.",
76,2.0,Former Employee,more than 1 year,Avoid,"Dec 10, 2021",Site Director,,Working with kids is usually a big plus. Some of the staff were awesome. The support from the schools was good. Working in the schools usually split shift before and after school. I liked having the middle of my day free when not as many of people are out and about to do errands,Bit**y'est group of employees I ever worked with. They had a right to be though because the management we had was awful. All they care about is the money the company is making. Don't care one bit about the employees or the students. Lots of favoritism towards a couple employees while a couple who poured their hearts into the company got the shaft end of everything. No real budget to spend money on improving your site so you end up putting alot of your own money into making things nice. Worst curriculums ever but then again no one was willing to step up and make new ideas because complaining is easier I guess.,"Care about your employees and check in at the sites more than 2 times a year for required trainings. When you give someone a task, give them more than 5 minutes to do it before you do it yourself or give it to someone else."
77,4.0,Current Employee,more than 1 year,what life is like as a process assistant,"Nov 19, 2021",Tier III Process Assistant,,"As a Process Assistant, you get to learn in-depth metrics on how your team operates every day. You will work with many people who are L5 and L6 these may be people who are either new in their role or started from the bottom and worked their way up. They will be your support guides as you are trying to move up in the company.","Be prepared to be over-worked and underpaid for the amount of work that you do, I know that you will be obligated to complete work and if you have ""Misses"" it can hinder your team as a whole, and sometimes you will feel like you may not be able to even take a break. I know when I became a PA in march of 2021 our cap team was short-staffed in PAs and Managers but we had the same amount of work regardless of the shortages.",I know the management can be difficult at Amazon due to some fresh out of college university hires who don't have a lot of experience managing teams and struggle with basic interaction with their associates.
78,3.0,Current Employee,less than 1 year,Takes a Heavy Toll on your Body,"Nov 28, 2021","Associate in Lansing, MI","Lansing, MI","-you’re to yourself most of the time 
- no talking to people 
- easy to understand the work, hard to do 
- do something different every other day 
-getting steps in 
-quick hire
-pay
- weight loss, muscle gains 
-team work
- advancement
- amazing and cool app with lots of resources , easy punch in 
- $100 off shoes
-pto 
-meeting new people, very humble and hardworking individuals 
- no discrimination, hires everyone","- lack of communication 
- heavy lifting almost constantly 
- feet is going to hurt, feels like needles 
- lots of pressure everyday 
-tedious long hours 
-repetitive 
-late nights 1:20am-12pm traditional hours
-not enough seating tables 
- I can never hear or know whats going on 
- they don’t care about you, everyone is there for work nonetheless, it can be a cold and ruthless environment 
- some people are friendly and you have amazing people from different backgrounds to talk to 
- holiday seasons also equals hell
- not enough incentives, Lansing area did not have the $3000 bonus for 2021
- no brain stimulation, simply slave work with nice music and people 
- they don’t care if you’re a small female, no one is going to care, they all expect you to do your job, it’s sad to see their concern of safety towards their workers
- some people will be lazy which adds more work for others 
- no sitting, always standing",
79,5.0,Current Employee,less than 1 year,friendly team,"Dec 30, 2021",Business Intelligence Engineer,,everybody in the team is very welcoming with open arms. the team seems to be very excited about the projects and me joining them. I felt very welcomed and liked the fact that i don't have to stress over writing in formal language when chatting with co-workers anymore.,there was a lot of training video content to watch through in the first month. you are expected to deliver a project within 2 months when you start.,
80,4.0,Current Employee,more than 3 years,Two years and counting,"Jan 3, 2022",Construction Manager,,Always moving forward - no two days are the same,"Brutal work load, limited quality or personal time, low CM support from management (by design)",
81,5.0,Current Employee,more than 1 year,Flex worker,"Dec 24, 2021",Picker,,This is great if you need something flexible say if your a single mom and full-time student and homeschool teacher etc… lot of up and down a small staircase and some heavy lifting involved pretty boring.,You cannot even have one headphone in supposedly for safety because you cannot pay attention to surroundings. I know with just one you could still and I could be listening to school audio book to do two things at once or just some music. It would make everyone happier and that leads to more production and enthusiasm.,Let workers have a single headphone in.
82,5.0,,,Great Place to Work and advancement Opportunities,"Dec 20, 2021","FC Inbound Associate/Learning Ambassador in Troutdale, OR","Troutdale, OR","Many opportunities for advancement, raises every 6 months, cross training available, many departments to transfer and learn from. Great benefits, generous during the holidays and when hitting milestones.","Many rules to keep us safe, retraining as needed to become efficient with our job.","I am hoping any incoming new managers are as open minded, well versed as to how each department runs and how important it is to hear we a valued for all the hard work we do, the adjusting and adapting we do when nothing seems to go right!
 The swag and snacks are great, hearing we are valued goes a little farther.
I enjoyed my time there at PDX9 Troutdale OR"
83,5.0,Current Employee,less than 1 year,Freattt,"Jan 3, 2022","Picker/Packer in Chester, VA","Chester, VA",It’s great just long days,"Longs days, lots of standing, takes too long to even walk to get to breaks",Work on communicating with employees
84,1.0,Current Employee,more than 5 years,Training Coordinator,"Jan 3, 2022",Training Coordinator,,"work from home, initial stock options","the overall culture of this company is horrid. tenure is not valued. if you're not constantly proving yourself and a desire to elevate, you prob. won't be happy after a couple of years. and you'll stop getting stock shares, btw. if you're hired off the street as a manager, you will make way more than an internal employee who worked their way up through the ranks. That's just wrong.","amazon added a Leadership Principle in that it wants to be the world's best employer. Well, that would mean making your employees feel valued. employees should receive stock shares annually based on their number of years with the company."
85,5.0,Current Employee,more than 5 years,Great to build career if you're competent,"Dec 26, 2021","Global Account Representative in Seattle, WA","Seattle, WA","-You choose your own path
-You write your own promo docs
-You decide what projects to take on and work on
-The sky's the limit for where you go","-If you don't play well with others both internally and externally, you will burn out in 1-2 years
-If you don't choose work based on what you need to do to get to your next promotion, you will be a bit bored/aimless
-If you don't thrive in high autonomy environments, you will fail
-If you don't know how to network internally, you will fail",
86,4.0,Former Employee,less than 1 year,Nuetral,"Jan 3, 2022",Cashier/Stocker,,"Good Pay, good benefits for working",Not enough break time. only get to sit for 15 minutes after standing for 3 plus hours,
87,5.0,Current Employee,less than 1 year,Excellent Onboarding Experience,"Dec 19, 2021",Site WHS Manager,,"I've worked for 3 other large companies (2 conglomerates and 1 major auto company). The Amazon onboarding experience is tremendous. There is an Embark Onboarding plan created for each new salaried staff member, and it lays out tasks for the first few weeks. In addition, I was assigned an onboarding buddy. My buddy is a peer who helped me understand the workplace items I was expected to deliver specific to my job.",I have not seen any cons so far.,"Thank you for the Connections question I'm asked each day when I log on. Other people with whom I work have stopped by my desk and said, ""Doing okay? How can I help you?"""
88,4.0,Current Employee,more than 3 years,Good resume builder,"Jan 3, 2022","Senior PR Manager in Seattle, WA","Seattle, WA",Pay can be solid if stock does well,"Grueling culture of burnout, and lots of layers of process",
89,5.0,Current Employee,less than 1 year,It is very good company,"Jan 3, 2022",Software Engineer,,It is very good company. Have great opportunity.,"tough, work very hard in the company.",
90,4.0,,,Stowing at amazon,"Jan 3, 2022",Inbound Stower,,They got some Good benefits.,Don’t care about your personal health. They only see us as numbers.,
91,4.0,,,Wonderful benefits and great co-workers,"Jan 3, 2022","Any Available in Lakeland, FL","Lakeland, FL","Fast paced, detail oriented, great hours, great pay","ACCOMMODATIONS ISSUES

COVID TESTING NEEDS TO BE AVAILABLE",
92,4.0,Current Employee,less than 1 year,Active job,"Dec 27, 2021","Associate in Garner, NC","Garner, NC","Flexible schedule, good pay & benefits","Not too many cons, just not as personal as say, a smaller company might be - but that is somewhat expected from a large company. They do have great overall support for employees... many benefits including mental, physical, & family health support, among others.","Closer monitoring of employees' development. Once general performance is evaluated, be open for employee, peer, and superiors' feedback in assisting progress & growth of employee performance, development and satisfaction = better company asset."
93,5.0,Current Employee,less than 1 year,Best you can find,"Dec 28, 2021","SysEng in Denver, CO","Denver, CO",Very aligned company. The corporate principals the company runs under are not hollow and are very good. People seem to try and adhere to them and they're very customer-centric even when it's hard to do.,"The only major con I can think of is that as far as technology the majority is internally developed which means knowledge of technologies won't be transferable, but it's probably outweighed to a certain degree by having Amazon on your resume.",
94,3.0,Former Employee,less than 1 year,"Very busy, exhausting and interesting","Dec 6, 2021",Amazon Area Manager,,"There are so many aspects to learn about Amazon that every day really is Day One. There is a two year sign-on bonus (year 1 $6,700 and year 2 $5,500) and a stock award ($33,000 total) that is weighted in the back end over four years. The sign-on bonuses have to be repaid if you quit within that year.","The night shift hours are brutal for anyone with a family or life outside of just working for Amazon. Don’t believe their “work life balance” mantra. Area managers will work at least 11-13 hours a day for your four day work week but can be for up to six days a week. Expect to come in 1/2 to 1 hour before your shift and stay 1 hour after your shift. If your associates come in for extra paid days, you work the extra hours with no more pay since you are management.",Actually walk the talk of work life balance. The L6 at our training site told my Area Manger trainee group on our first night at the DS that Area Managers don’t get breaks or lunch time. We just walked away and took our lunch break.
95,2.0,Current Employee,more than 5 years,Good pay with no life,"Dec 29, 2021","Program Manager II in Tempe, AZ","Tempe, AZ","Pay. 
Amazon trusts its PMs. 
Some interesting work on large scale. WFH for now.
Great Medical benefits. RSUs can be very valuable in years the stock runs.","60+ hour weeks all year. More in peak. 
Many teams are understaffed and push for people to work 24/7. Burnout is high. 
Sr leaders don't hesitate to ask non critical questions in the middle of the night. 
The teams with openings are usually the teams who cannot retain talent. 
Morale is lower this year than in previous.","Cap hours at 50 per week. Hire to fill the gaps. 
Respect peoples time off the clock. 
Dont be ok with the high turnover. 
I love the new LP to be the worlds best employer, but needs more than lip service. So far all talk."
96,5.0,,,Work,"Jan 3, 2022",Picker/Packer,,This job is easy to learn,It can get difficult at times when machines fail to work,
97,5.0,Current Employee,less than 1 year,Working with The Best,"Dec 27, 2021","Technical Curriculum Developer in Long Island City, NY","Long Island City, NY","Great compensation and benefits and being fully remote is a plus. Managers are excellent and ""off your back"" for the most part. Lucky to work with some of the best and smartest coworkers that I ever have before.","I'm in a technical role so there is a LOT to learn. If you don't have a background in technical cloud development, make sure you are a ""self learner"". Amazon (AWS) spends more time teaching and training about culture, versus technical knowledge.",
98,3.0,Former Employee,more than 1 year,Meat Grinder,"Dec 2, 2021","Finance Manager in Seattle, WA","Seattle, WA",Amazing opportunity to work with other hardworking and intelligent peers. The work is complex and challenging with a steep learning curve and once you pass it it's pretty easy. Unless you want to contribute to making it challenging for the next person by adding to the complexity.,"Rumors of it being a meat grinder are understated. It's an aggressive culture with toxicity promoted by mid level managers (sr. finance and director level) who use it to suppress talent. There are obvious exceptions so when landing a job don't be afraid to be diligent with the hiring manager. Get as good a sense of their style, personality, and willingness to be supportive and not just toss you to the side after Day 1 with the time honored ""you own it"" mindset even though it's your second day on the job and you had nothing to do with how it was being done or what the prior person had done to it before you started. It's horrible environment where you don't get grace and even when your manager might have been the one in the role you're filling now, they can easily reprimand you for the poor job you're (they had been) doing.",Improve the culture to be human.
99,3.0,Current Employee,more than 3 years,Hard Workers BEWARE..!,"Dec 27, 2021","Warehouse Associate in Crown Point, IN","Crown Point, IN","* Simple Tasks (Even if its close to back-breaking labor)

*Plenty of Breaks

*A Decent Amount of Benefits

*Voluntary Extra Time / Time Off

*Sometimes Hold Contests for Prizes","*Favoritism Abundant

*Graveyard Shifts Available Only for Delivery Stations 
 (use to be flexible with scheduling)

*Mandatory Extra Time (They give 2 hours before your Shift instead of After when giving 12 hour shifts)

*Unpaid Time-Off Hours works as a LIFE-LINE to keep your job Unless it is LOA

*PTO rules always subject to change ( currently gives full allotted time and can not accumulate more)

*Vacation time can/will be frozen upon MET needs","*Talk to your Reliable workers if they are not meeting the normal expectations of them

* Booting people off a task they are good at the next day without telling them ""why"" makes disgruntled employees

*ACTUALLY TRAIN/ SEND PEOPLE TO TRAIN for a position if they are actively trying to improve."
100,3.0,Current Employee,more than 3 years,Hard Workers BEWARE..!,"Dec 27, 2021","Warehouse Associate in Crown Point, IN","Crown Point, IN","* Simple Tasks (Even if its close to back-breaking labor)

*Plenty of Breaks

*A Decent Amount of Benefits

*Voluntary Extra Time / Time Off

*Sometimes Hold Contests for Prizes","*Favoritism Abundant

*Graveyard Shifts Available Only for Delivery Stations 
 (use to be flexible with scheduling)

*Mandatory Extra Time (They give 2 hours before your Shift instead of After when giving 12 hour shifts)

*Unpaid Time-Off Hours works as a LIFE-LINE to keep your job Unless it is LOA

*PTO rules always subject to change ( currently gives full allotted time and can not accumulate more)

*Vacation time can/will be frozen upon MET needs","*Talk to your Reliable workers if they are not meeting the normal expectations of them

* Booting people off a task they are good at the next day without telling them ""why"" makes disgruntled employees

*ACTUALLY TRAIN/ SEND PEOPLE TO TRAIN for a position if they are actively trying to improve."
101,5.0,Current Employee,less than 1 year,Great place to work!,"Dec 28, 2021",Recruiter,,"Surrounded by intelligent, hardworking people. Independence to manage your own work day, with a solid work/life balance. Supportive team members and management, where others truly want to help you succeed and learn.","The independence and large size of the company means that you need to be motivated to ask questions and seek to learn on your own. If you are someone who needs hand-holding and very detailed instructions, this isn't the place for you.",
102,3.0,Former Employee,less than 1 year,Quantity over quality,"Dec 26, 2021","Sortation Associate in Nashville, TN","Nashville, TN","Some of the jobs were satisfying to perform. Personally, I liked the sort slide. To me it was a part time job to put away some money. It was fine for that, but I don’t think it is a job I would want long term. Did offer benefits, but I didn’t use them so I can’t speak to their actual usefulness.","Very focused on numbers rather than on the quality of the work. I had to stop frequently to stabilize the stacks on pallets or remove a buildup of large packages on the belt that others would pass up in favor of small packages to keep their numbers high. I genuinely tried to work quickly, but was still spoken to (respectfully) about working faster. No feedback was provided about the quality or accuracy of my work.",The swag bucks is a little patronizing. Just pay better.
103,4.0,Current Employee,more than 3 years,Amazon review,"Jan 3, 2022","Forklift Operator in Swedesboro, NJ","Swedesboro, NJ",The pay is good and great benefits,Sometimes the workers don’t get treated right,N/A
104,5.0,Current Employee,less than 1 year,"A Peculiar, Welcoming Culture","Dec 17, 2021","Account Executive in Los Angeles, CA","Los Angeles, CA","In my short time at Amazon, I've already felt the benefits of their peculiar, innovative, and dynamic culture. Everyone at Amazon is welcoming, smart, and intrinsically motivated to help the company grow and prosper. They're onboarding process is built to set up their employees for success and I've truly felt apart of the team since Day 1 (which is really, everyday!).","Amazon is a very large company which can feel overwhelming in terms of who to go to and resources. They combat this by ensuring teams are small enough where employees feel engaged and as though they are contributing, which they are. They also provide training to ensure employees are set up for success.",N/A
105,4.0,,,Finance Life at Amazon,"Dec 20, 2021","Financial Analyst in Seattle, WA","Seattle, WA",There is so much to learn working at Amazon and you work with some of the smartest people in the profession.,Amazon managers are not transparent and direct when speaking to their employees about performance. I know many people who have been put on development plans and were never told by their manager until they requested a transfer. This type of practice fosters an environment where you are constantly second guessing yourself and is extremely harmful for one's mental health. I suggest everyone read the New York Times article before taking a job at Amazon.,Learn to be direct and forthcoming with employees about their performance.
106,5.0,,,Amazing and Nice environment,"Jan 3, 2022","Warehouse Associate in Arlington, VA","Arlington, VA",Flexible schedule and great benefits,Long working hours and mandatory overtime,
107,5.0,Current Employee,less than 1 year,Review,"Jan 3, 2022",Cloud Infrastructure Architect,,"Pay, Community, Benefits ,Fun, Growth",Not to many cons yet to my knowledge.,None
108,5.0,,,Great job,"Jan 3, 2022",Anonymous Employee,,"Time, pay, benefits, breaks and the people",There wasn’t a lot of downsides,
109,5.0,Current Employee,more than 1 year,Great,"Jan 3, 2022","Problem Solver in West Jefferson, OH","West Jefferson, OH","Good PTO plan.
Peak season is very good paid.",Low salary rate after peak season.,
110,5.0,Current Employee,more than 1 year,Great Place to Work,"Jan 3, 2022",Anonymous Employee,,"growth opportunities, compensation, benefits, people",you will work hard and often,
111,4.0,,,Great,"Jan 3, 2022",Sortation Associate,,"Weekly pay
Competitive pay
Full benefits first day",They kinda suck when you try to get accommodations,
112,5.0,Former Employee,more than 1 year,"Great part-time work, lots of freedom","Nov 22, 2021",Whole Foods Shopper,,"The Whole Foods Shopper role was easy, fun (sometimes), not stress, and even a little bit stimulating. It was well organized and straightforward. You could do your entire shift without talking to one person at all! Everything is automated, from sign in, to taking orders, to signing out. When there are no orders, you can just chill out and tag bags or sneak off to read a book or play on your phone somewhere (I'm thinking this isn't allowed, but at my location we were not caught/reprimanded for doing this. As long as you work hard when you need to (when there are orders) and work at a decent pace, you'll be fine. Obviously don't come late or cancel shifts late. I think in that regard it's 3 strikes and you're out. There are also 'surge' shifts which pay a bit more. Overall just super easy and fun as a college part-time job.",Pretty much 0 room for growth. This is a come-and-go job. Don't plan on doing this long term.,
113,5.0,Current Employee,less than 1 year,"So big..., but they really seem to care","Nov 5, 2021","Systems Development Engineer in Herndon, VA","Herndon, VA","Customer oriented at all levels. The model is based off making the customer happy as opposed to just trying to make money. Happy customers buy your products/services.
The company seems to be built on a value-oriented model that is actually applied on a daily basis.
Everyone I've met so far is really nice and makes me feel welcome and included. They are also willing to teach and share knowledge. It's pretty awesome that smart people are willing to help you get smarter.
Very inclusive culture.
A lot of opportunity for growth and gaining experience with different products/technologies/etc.
Lots of freedom to do work on things you think is important, manage your own time, etc.","Pay is a little confusing/dependent on Restricted Stock Units
It's just plain huge, could be easy to get lost if your team doesn't pay attention to you/you're not self driven.","Sometimes there is a little too much freedom. As an employee, I want to make sure that I'm meeting and/or exceeding expectations. Clear expectations help me do that. It's definitely a fine line, but asking a question like ""Do you need any clarification on what is expected of you?"" would probably help that (especially periodically in the beginning)."
114,2.0,Current Employee,more than 1 year,Greenfield? RUN,"Nov 28, 2021","Sales Representative in Arlington, VA","Arlington, VA","Large step up in salary from previous employer
Industry leader continues to innovate with product/service offerings
Strong technical & subject matter expertise; you have a resource for everything!","I have never seen a companies ""values"" and actions be more out of step. Leadership principles only flow 'downhill'; employees are expected to show them to management, but management doesn't model them to employees. 
Complete and utter disorganization at every level. Nobody is able to affect change or outcomes. 
Leadership enforces decisions with 'because I said so' (""disagree and commit"") and does not work to gain buy-in from employees. 
Zero accountability from business units that are supposed to help you meet your sales goals (marketing, demand generation, etc.)
Shifting sales goals during a quarter to reduce your earnings. They will literally steal your commissions!","The entire middle management team needs to be replaced, ideally with promoted individual contributors who understand the absolutely miserable state of morale within greenfield sales teams. 
Practice what you preach
Compensate employees in accordance with the plans they sign
Trust your people instead of micromanaging them

If you are considering a position at AWS, get commitment from them where you will be placed. DO NOT ACCEPT POOLED JOB REQ's. From what I can tell these problems are unique to the greenfield sales org; teams such as SMB, Digital Native, and Enterprise Engaged are delivering results and have happier members."
115,4.0,,,Great opportunity,"Jan 3, 2022",Anonymous Employee,,Easy work good opportunity for advancement if interested,Long hours during the holiday,
116,5.0,Current Employee,less than 1 year,Lots to absorb and learn.,"Dec 20, 2021",AI2 Associate,,"-Tons of learning. You'll definitely be touching a lot of Amazon tech and learning different aspects of AWS.
-Career opportunities. You'll be shown a lot in AI2 and from what I can tell, it'll be provided avenues on what you'll want to do at Amazon.
-Compensation. A lot, in terms of base salary and benefits.","On-boarding can be a bit rocky, but it just depends if you can acclimate. You're provided all the information (which is a ton and can be overwhelming), but once you get a hold of navigating it all it'll be fine.",None for now. Great management on AI2 so far.
117,5.0,Current Employee,more than 1 year,Software Engineer,"Jan 3, 2022",Anonymous Employee,,"Largest Cloud Provider
Great Work culture",Huge Competition but less base salary,
118,4.0,Current Employee,less than 1 year,Requires effort but does pay well.,"Dec 25, 2021",Delivery Driver,,"Schedule is pretty flexible and you work 4 days a week instead of 5. They do have insurance benefits, and some days you could finish early. Pays pretty well.",You have to go fast to stay caught up. Most of the time when you finish you have to rescue other employees on their routes. Seasons where delivery rates are high; work is hard and long.,Optimize routes during peak season; proportionally raise stop and package count on all routes no just some.
119,4.0,,,working at amazon,"Jan 3, 2022","Warehouse Worker in Edison, NJ","Edison, NJ",good benefits and decent pay.,long hours and strenuous work,
120,4.0,,,Good company,"Jan 3, 2022",Operations Manager,,Very challenging and good growth experience,I experienced working long shifts,
121,5.0,,,Cool,"Jan 3, 2022","Amazon Associate in Tempe, AZ","Tempe, AZ",Felixble schedule is an upside,no scheduled shift is a downside,
122,4.0,,,Rewarding,"Jan 4, 2022","Logistics (AMZL) Manager in Meridian, ID","Meridian, ID",Very rewarding lots of opportunities,Big time commitment and lots of hours,
123,5.0,Current Employee,less than 1 year,I was skeptical -- but they have proven me so wrong,"Dec 24, 2021","Human Resources Business Partner in Tulsa, OK","Tulsa, OK","The people at Amazon are second to none! I get up every morning excited to come to work, make a difference, and help others discover their true potential. My leader is incredible and my team is amazing!",For a company of it's size - lack of communication strategy is a bit frustrating. The onboarding experience / training for a new hire is lacking.,Slow down.... think Day 1 .... What would you need to be successful on your day 1?
124,4.0,Current Employee,more than 3 years,"Different Organizations, Different Pros/Cons","Oct 13, 2021",Recruitment Marketing Coordinator,,"Unmatched benefits - I've seriously never had benefits like this before. Extremely affordable & start Day1.

Fair(ish) pay - If you're coming into Amazon in a more professional role, you typically will be paid more if you're an external hire vs. an internal hire/transfer.

Growth & Upward Mobility - Being such a large company, there are venues and areas to grow into that wouldn't be possible at other corporations. If you're at Amazon for 2 years, you can apply & transfer to any role in the company regardless of collegiate degree requirements. I think that's pretty cool.","Fair(ish) pay - If you're coming into Amazon in a more professional role, you typically will be paid more if you're an external hire vs. an internal hire/transfer. I put this on both the pros/cons because it's frustrating when you work really hard to get promoted, and then an external hire comes in probably making more than you with less Amazon experience. 

Roll-outs & Updates - Amazon rolls out new procedures when it seems like they're only about 50% ready and leaves the heavy lifting to the folks on the ground to figure out the rest of the work.","Revamp your pay structure and pay folks regardless of internal/external hire. 

Test out your roll-outs/updates on both a large scale & ground level to see how these changes affect your entry level employees."
125,4.0,Current Employee,more than 3 years,"Great place to work, but can be team specific","Dec 20, 2021","Software Development Engineer II in Seattle, WA","Seattle, WA","At Amazon the overall culture is great to develop your hard and soft skills. You will be faced with difficult technical challenges, learn to work within a large organization that makes agility, and also be surrounded by people who have experience doing the same. It's a fast-paced environment, but can be rewarding as well.","The team your on can make a difference in your day to day culture. This will determine response to delays and misses/learnings. Ideally leaning opportunities are embraced and shared, but in some teams the value for speed and agility outweighs. Something to balance.",
126,4.0,Former Employee,more than 1 year,Remote,"Jan 3, 2022",Customer Service Representative,,"Remote, set your own hours.",Environment is strange. You’re not valued.,
127,5.0,Current Employee,less than 1 year,Great experience so far. Best work-life balance that I have ever experienced,"Dec 28, 2021",Recruiter,,"Great people, Great culture and a lot of opportunity for growth",None but you have to be self-driven to figure things out on your own at times. There is plenty of tools at your disposal therefore this would not be a con for the right individuals.,Continue setting the bar high and providing opportunities for growth. It is highly appreciated!
128,4.0,Current Employee,less than 1 year,Merit-Based Company,"Dec 27, 2021",Senior Product Manager,"Seattle, WA","- Merit-based environment with structured and clearly define goals
- Top level business and technical colleagues
- Large scale impact across customers and products lines
- Strong ownership and single thread decision making
- Ability to move easily across teams, geographical locations and products","- Below industry average PTO
- Subpar equity vesting timeline compared with industry competitors
- Low base pay cash compensation component",- Flexibility in terms of working location can go a long way for motivating/retaining employees
129,5.0,Current Employee,less than 1 year,Advancement Opportunities and Good Benefits,"Dec 22, 2021","Procurement Operations Manager in Kansas City, KS","Kansas City, KS","There are many career advancement opportunities available, especially if you are willing to relocate. The overall benefit package is good with most benefits starting on the first day. Amazon does a great job taking care of their employees, especially hourly associates.",The 401K match is very low in comparison to other companies.,"The buildings are very nice and it is great to work in a temperature controlled environment, but I wish the buildings were warmer, so I did not have to wear as many layers of clothes to work every day."
130,2.0,Current Employee,less than 1 year,Let’s just say you will learn how to survive very quickly.,"Dec 27, 2021","Site Teacher in Portland, OR","Portland, OR","-The kids. 
- You can be very open and honest and bring your own teaching style. 
- refreshingly progressive and honestly teaches some cool stuff. 
-Not difficult to schedule time off. 
-99% percent of the people working there are awesome and lovely.","-They are very understaffed. 
-They really just care about how many kids they can get through the door. 
-You will constantly be out of ratio and have too many kids and not enough staff.
-management says all the right things but don’t expect them to do anything unless their feet is to the fire.
-You will be given responsibilities higher then your experience and not compensated.
-raises are a NIGHTMARE to get.",Before you open more sites get more staff and train up the people you have.
131,2.0,Former Employee,more than 1 year,Peak season,"Jan 1, 2022","Warehouse Picker in Chattanooga, TN","Chattanooga, TN",Benefits were the only pros.,If you were a current employee you made less than the new people coming in for peak season and also didn’t receive the bonus they were offered. Your good at the beginning of peak you’ll be working 2 weeks of overtime then they add more at the end of each week without any warning. Amcare and management never took any injury seriously unless it was ambulance needed. They tell you that peak ruins your mental health then ask you to stay on the floor or go back to the during/after an anxiety attack. It’s just not worth it.,
132,5.0,Current Employee,more than 1 year,"Work hard, work smart, and have fun","Dec 29, 2021","Senior TPM in Seattle, WA","Seattle, WA","Structured on boarding 
A lot of training and materials for all facets of your career (from technical to gray-ware)
Everyone and everything is fast, JUST DO IT, if you fail try again",I find working for Amazon charges me with energy and want to do better and more. There is nothing I would change.,
133,5.0,Current Employee,less than 1 year,Refreshing and challenging,"Dec 30, 2021",Technical Program Manager,,"Large company with start up company vibes
Lean teams of type A ""go-getters""
You are responsible for your own success - must be a self-starter","Large enough to where it can be slightly overwhelming to navigate
Tons of tools and resources (but can take time to learn which are the right tools to use)",
134,4.0,Current Employee,more than 1 year,IT Support Engineer 1,"Jan 1, 2022","IT Engineer in Baltimore, MD","Baltimore, MD","There is always new cutting-edge technology you can learn here.
There are plenty of cross-team work opportunities.
There are tons of smart people whom you can talk to and gain much knowledge from.",Work life balance. work pressure.,
135,5.0,Current Employee,less than 1 year,You are the Pilot of your own Career flight,"Dec 28, 2021",Anonymous Employee,,"1/ Well described 90 day on-boarding plan. 
2/ Tons of trainings available for you to hon your skills.
3/ Company works with you to accommodate your work location preferences.",Only con so far- too much information. You need to be smart and intelligent to sift through all the info from grt-go or it can get overwhelming.,
136,5.0,Current Employee,less than 1 year,Great Place to Grow!,"Nov 27, 2021",Onsite Medical Representative,,"Great schedule, four day work week, excellent benefits. Honestly, a great place to expand and grow if you're willing to put in the work. There's the TLDR.

The whole story: I worked in private EMS for 31 years. I got tired of the horrible pay, mandatory overtime, non-existent benefits, and false promises; and I decided to find my ""when I grow up"" job.

Amazon took me into their employment, and then two weeks later when I suffered a medical emergency and spent a month off work recovering from surgery they took me into their family. They paid my bonus out for the year, made sure my insurance was submitted and backdated to my first day of work, and called to check in on me during my convalescence.

I have never felt more considered, more respected, and more valued than at Amazon.",Peak times are very busy.,Waterspiders. So many. Need them.
137,1.0,Current Employee,more than 3 years,**RUN AWAY!!**,"Nov 16, 2021","Investigation Specialist in Seattle, WA","Seattle, WA","Amazon has some very attractive pros for working here such as benefits, development, and opportunities","The Cons are 
- LOW wage I started at Amazon 3 years ago at $22 an hour , fast forward after 3 years of hard work, job moves, etc. I still make $22 an hour!!
- Promotions don't even come with a salary increase if you are within the ""range"" of a promotions salary they you don't get a raise. 
- If you move and work harder with Amazon you lose out on the chance of a small increase in salary because you are kicked out of the review cycle for your previous role and have to wait for the next one in your current job. 
- Amazon does a great PR dance about employee satisfaction but doesn't even meet the qualifications for a good employer let alone a great one. 
- Amazon saves millions since the pandemic having employees working from home and at the start they gave bonuses etc but now nothing. I pay for my own internet, office supplies, etc. and make the same wage I started at 3 years ago. 
- Amazon doesn't care about turn over if you are not performing the improvement plans are aggressive and you get fired very quickly if Amazon would truly invest they could save enough in turn over to give all employees a pay increase.",Do better don't make the wage cycle based on the job you are in so if you transfer you miss out on any chance for a increase. Accolades and feel goods don't pay the rent!!
138,5.0,Current Employee,less than 1 year,Great culture and work environment,"Nov 29, 2021",Warehouse Worker,,Really good people at my location. Supportive team/management.,"Rigid, interview-heavy promotions process leaves out a lot of us that aren't ""interview types"". I think merit as evidenced by solid job performance and knowledge should count for more than being able to nail a complicated interview. I don't expect to stay long term due to that.","Call out the people who are visibly physically struggling on shift, especially during slow periods. Go over the value of insoles, braces/supports as needed, etc. Send to wellness for supportive care if necessary. Ounce of prevention or a pound of cure... If injuries progress and snowball, like they will, you'll either get reduced performance from that employee and/or have to rehire and retrain a new one. And everyone gets more work in the meantime, and the cycle begins again."
